rank,frame_path,grain_score,manual_keep,notes
242,data\selected_frames\nosferatu_non_title_cards\nosferatu_000505.png,0.004179573152214289,,
243,data\selected_frames\nosferatu_non_title_cards\nosferatu_000569.png,0.004174533765763044,,
244,data\selected_frames\nosferatu_non_title_cards\nosferatu_000355.png,0.004167377017438412,,
245,data\selected_frames\nosferatu_non_title_cards\nosferatu_000460.png,0.004161763936281204,,
246,data\selected_frames\nosferatu_non_title_cards\nosferatu_000096.png,0.004156322684139013,,
247,data\selected_frames\nosferatu_non_title_cards\nosferatu_000179.png,0.004148454405367374,,
248,data\selected_frames\nosferatu_non_title_cards\nosferatu_000497.png,0.0041437591426074505,,
249,data\selected_frames\nosferatu_non_title_cards\nosferatu_000251.png,0.004132067784667015,,
250,data\selected_frames\nosferatu_non_title_cards\nosferatu_000094.png,0.004117660224437714,,
251,data\selected_frames\nosferatu_non_title_cards\nosferatu_000172.png,0.0041094678454101086,,
252,data\selected_frames\nosferatu_non_title_cards\nosferatu_000072.png,0.004101182799786329,,
253,data\selected_frames\nosferatu_non_title_cards\nosferatu_000326.png,0.004094333853572607,,
254,data\selected_frames\nosferatu_non_title_cards\nosferatu_000158.png,0.004073855932801962,,
255,data\selected_frames\nosferatu_non_title_cards\nosferatu_000180.png,0.004054596181958914,,
256,data\selected_frames\nosferatu_non_title_cards\nosferatu_000003.png,0.0040542664937675,,
257,data\selected_frames\nosferatu_non_title_cards\nosferatu_000170.png,0.00405190559104085,,
258,data\selected_frames\nosferatu_non_title_cards\nosferatu_000347.png,0.004040200263261795,,
259,data\selected_frames\nosferatu_non_title_cards\nosferatu_000413.png,0.004034885670989752,,
260,data\selected_frames\nosferatu_non_title_cards\nosferatu_000207.png,0.0040305196307599545,,
261,data\selected_frames\nosferatu_non_title_cards\nosferatu_000201.png,0.004017702769488096,,
262,data\selected_frames\nosferatu_non_title_cards\nosferatu_000169.png,0.004009276628494263,,
263,data\selected_frames\nosferatu_non_title_cards\nosferatu_000498.png,0.003988784737884998,,
264,data\selected_frames\nosferatu_non_title_cards\nosferatu_000185.png,0.0039673480205237865,,
265,data\selected_frames\nosferatu_non_title_cards\nosferatu_000005.png,0.003945929929614067,,
266,data\selected_frames\nosferatu_non_title_cards\nosferatu_000456.png,0.003921076189726591,,
267,data\selected_frames\nosferatu_non_title_cards\nosferatu_000202.png,0.0039202263578772545,,
